OBJECTID_1,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Num_Counties,County_NUM_1,County_NUM_2,Month
19916,20535,2017,CA,USF,PNF,DIXIE,1602,9/12/2017 0:00,9/16/2017 0:00,9,,8.6,8.6481705,6,1,,1,4,4,9
19924,20543,2017,CA,USF,MNF,SLIDE,1230,9/12/2017 0:00,9/20/2017 0:00,1,,58,58.1359901,6,1,,1,17,17,9
19925,20544,2017,CA,USF,MNF,SKELETON,1227,9/12/2017 0:00,9/18/2017 0:00,1,,87,87.8763809,6,1,,1,17,17,9
19947,20566,2017,CA,USF,ENF,LONG,27035,9/12/2017 0:00,11/12/2017 0:00,1,CONT_DATE  based on FIRESTAT Fire Out Date/Time,0.8,0.8926889,1,1,,1,31,31,9
20048,20667,2017,CA,NPS,YNP,HIDDEN,136,9/12/2017 0:00,9/24/2017 0:00,1,,0,0.0793653,7,1,136,1,22,22,9
20059,20678,2017,CA,NPS,RNP,A RANCH,1715,9/12/2017 0:00,9/12/2017 0:00,1,,0,0.0028156,1,1,1715,1,21,21,9
20067,20686,2017,CA,NPS,YNP,ILLILOUETTE CREEK,135,9/12/2017 0:00,9/30/2017 0:00,1,,0,0.0795043,7,1,135,1,22,22,9
20073,20692,2017,CA,NPS,YNP,SENTINEL,134,9/12/2017 0:00,9/12/2017 0:00,1,,0,0.0794437,7,1,134,1,22,22,9
19824,20443,2017,CA,BLM,CDD,TECOPA,13827,9/11/2017 0:00,9/14/2017 0:00,1,,0,26.9933758,1,1,,1,14,14,9
19844,20463,2017,CA,CDF,FKU,SHAVER,13407,9/11/2017 0:00,9/14/2017 0:00,4,,,8.5901423,1,1,,1,10,10,9
19874,20493,2017,CA,USF,STF,BUMMERS,2704,9/11/2017 0:00,11/20/2017 0:00,1,CONT_DATE from FIRESTAT Fire info Summit complex,510,510.109375,1,1,,1,55,55,9
20017,20636,2017,CA,CDF,CZU,SKEGGS,6862,9/11/2017 0:00,9/13/2017 0:00,1, ,50,36.3377457,1,1,,1,41,41,9
20032,20651,2017,CA,CDF,BEU,PINE,4818,9/11/2017 0:00,9/11/2017 0:00,1,,59,59.3685036,1,1,,1,27,27,9
20051,20670,2017,CA,NPS,YNP,LECONTE,133,9/11/2017 0:00,9/27/2017 0:00,1,,0,0.0792087,7,1,133,1,55,55,9
20053,20672,2017,CA,NPS,YNP,WATKINS,129,9/11/2017 0:00,9/12/2017 0:00,1,,0,0.0793844,7,1,129,1,22,22,9
20054,20673,2017,CA,NPS,YNP,WOLFE,132,9/11/2017 0:00,10/6/2017 0:00,1,,0,0.0792822,7,1,132,1,55,55,9
20066,20685,2017,CA,NPS,YNP,MORRISON,131,9/11/2017 0:00,9/24/2017 0:00,1,,0,0.0792798,7,1,131,1,55,55,9
20069,20688,2017,CA,NPS,YNP,PORCUPINE CAMPGROUND,130,9/11/2017 0:00,10/7/2017 0:00,1,,0,0.0793411,7,1,130,1,22,22,9
19486,20105,2017,CA,CCO,VNC,PACIFIC,75307,9/9/2017 0:00,9/9/2017 0:00,14,Final Walked track.  Small spot to the north east,,1.190109,1,1,,1,56,56,9
19750,20369,2017,CA,CCO,LAC,LEONA,270836,9/9/2017 0:00,9/9/2017 0:00,11,,,0.139297,1,1,,1,19,19,9
19666,20285,2017,CA,CDF,MVU,BORDER 9,19962,9/8/2017 0:00,9/8/2017 0:00,14,,25,22.5028572,1,1,,1,37,37,9
19944,20563,2017,CA,USF,ENF,TABLE,26677,9/8/2017 0:00,10/27/2017 0:00,1,,500,426.7023621,1,1,,1,9,9,9
19902,20521,2017,CA,USF,SNF,CROWN,1419,9/7/2017 0:00,11/17/2017 0:00,1,,145,145.1784973,8,1,,1,10,10,9
19906,20525,2017,CA,USF,SNF,COW,1789,9/7/2017 0:00,11/17/2017 0:00,1,,25,25.9233856,6,1,,1,10,10,9
19933,20552,2017,CA,USF,KNF,CLAIRE,6678,9/7/2017 0:00,9/13/2017 0:00,1,CONT_DATE  based on FIRESTAT Fire Out Date/Time,24.3,12.8950634,3,1,,1,47,47,9
